Intent,Statement
Possession,"Daddy bought me this Horrible Histories book, itâs mine!  "
Question,Do all receipts have secret spy codes on them?
Refusal,Nope! I’m not taking distractions today.
Emotion,"Dada, I feel really proud of my school project!  "
Emotion,Not feeling understood makes me feel like my thoughts are clouds drifting past unnoticed.
Question,"It’s not raining jellybeans today, is it?"
Complaint,He’s taking all the blocks like he’s building a castle for one!
Complaint,I’m stuck and I don’t think I can solve it.
Comfort,A soft embrace with a seal makes my worries fade away.
Desire,I’m excited about being a wizard in Oxford.
Possession,It's his turn to play on the Xbox.
Imitation,I’m flying like a dragon with a giggle in my wings!
Emotion,"I feel a little shy, but also happy!  "
Imitation,I’m pretending to say “Dada!” when I see someone I love walk in!
Complaint,I wanted the bigger slice of cake!  
Comfort,"Daddy, I need a moment to rest—it’s been a long day."
Imitation,I’m pretending to call a meeting in the office!
Command,"Show me the receipt, I want to confirm each item’s cost!"
Complaint,I feel like I’m shrinking every time he laughs at me.
Comfort,The sofa is the best cuddling spot!
Comfort,Can you offer me some comfort? I need it today.
Complaint,It’s like the locker is keeping secrets from me!
Emotion,My dog’s morning hugs are like sunshine wrapped in fur.
Question,What makes vegetables so important that I must eat every single one?
Command,Hey! Let's take a picture in front of the famous train station! Come on now!
Command,"Lets take a picture in front of the London Eye,Just like Peppa Pig did!"
Refusal,I said no—I’m pushing through every stumble.
Imitation,Look! Iâm walking like a Beefeater!  
Desire,I want to hear what happens next—please read more.
Comfort,I feel safe and happy with this.
Gratitude,thank you for making math feel fun and not scary—your patience turned tricky times into triumphs.
Command,"Make jollof rice today, it is my favourite! I want mummy/daddy to see!"
Gratitude,"Daddy, thank you for helping me with my science homework!  "
Emotion,It feels like my courage is a candle flickering in a room full of giggles.
Emotion,"goodbye, balloon—you were loved, and you’ll be remembered with a smile and a little tug at my heart."
Complaint,I feel mad because I didn’t say you could take it.
Comfort,Sharing my favorite cartoon helps me feel connected.
Question,"Is it my turn to choose the TV show, IS IT, IS IT?"
Pride,"I built this whole Minecraft world, even the complicated parts, by myself!"
Complaint,Why do I always have to be the responsible one?
Question,What time does the park close in the evening?
Distress,"The constant poking is making me feel exasperated and weary, like I can’t escape it."
Gratitude,it tasted like a smile—thank you for making me one!
Refusal,I wont wear that shirt
Excitement,Car! Vroom! Fast car!
Distress,I woke up feeling sorrowful after that dream.
Comfort,Resting in my travel pillow makes me feel cozy!  
Distress,I tripped and hurt my knee!  
Comfort,I feel safe with a radiant scone!
Comfort,A cool hand on my head makes me feel okay.
Desire,I dream of all the cool exhibits at the science museum.
Question,How does the speed of freezing influence the ultimate taste of the yogurt?
Question,How do parents decide when their kids are old enough to walk to school alone?
Gratitude,I loved learning the greetings and dances—thank you for sharing!
Command,Blend twinkly hummus!
Emotion,It feels like my voice is a spark—and someone keeps blowing it out.
Question,Can I have a playdate with my friend tomorrow?
Distress,"The awful truth is my drawing ripped, and now it's completely ruined, like a sad cloud! It's making me feel icky and unhappy."
Complaint,This part makes me feel upset and I don’t want to keep going.
Distress,I lost my blankie
Imitation,I’m slicing like I’m dancing with the rotisserie!
Refusal,No way! I won’t put on those.
Comfort,It's the best feeling to get comfy in my travel pillow.
Distress,Ouch my knee
Refusal,I said no—I’m staying a little longer.
Command,"Daddy, can you tell me another story about Punjab? Please!"
Complaint,I feel disappointed because the juice is too watered down.
Question,Why doesn’t the night sky look like a giant glitter painting?
Question,What's your favourite British superhero?
Comfort,Just sitting together makes my worries fade away.
Distress,It’s all wet and ruined and now I feel like crying and hiding
Comfort,Your words make my heart feel peaceful and light.
Refusal,That’s not my mistake.
Question,What's the deepest ocean?
Observation,The football pitch looks extra green today!  
Desire,I’m dreaming of a growth spurt that makes me the tallest sibling in the room.
Refusal,"I don't like that song, it's a noisy, banging drum!"
Desire,I would be overjoyed to own a sword fit for a knight.
Refusal,I don’t want to color that.
Refusal,I said no—my skin’s staying dry.
Emotion,I feel disappointed like a story I was meant to be part of—but wasn’t written in.
Refusal,"Turn away!No,I’m in play mode and nothing’s stopping me"
Refusal,"No,I won’t do it like you say."
Desire,I'd love to go on an adventure.
Desire,I’m hoping we can go somewhere totally exciting today
Possession,Our family vacation photos.
Refusal,"I won’t go to that haunted house, it’s scary!"
Command,"Hey, listen! Come here!"
Complaint,That shove was loud without making a sound.
Need,"I need a pencil, mine feels snapped and sharp."
Excitement,This is the best day ever!
Desire,"I want ice cream, please!"
Complaint,He made me fall and now I don’t feel safe.
Desire,I’d love to race around with my friends and turn every corner into a surprise.
Distress,I can’t figure out this puzzle and it’s making me frustrated
Emotion,I feel proud because I spoke up and showed my true self.
Imitation,"I’m pretending to be a Shakespearean star—bold, bardy, and full of “verily!”"
Desire,I’d love to visit Stonehenge and imagine the hands that raised each stone.
Refusal,"Cant do it,I don’t want to try!"
Desire,I’m super amped to gobble cake at breakfast!
Complaint,I don’t like it—it’s not making me happy.
Possession,"That's my cousin's new bike, it's super fast."
Imitation,"He walks like a robot, so I’m walking like a robot too!"
Desire,I wish we could stay up all night playing games!  
Question,Does the heart pump blood around the body?
Refusal,"I don’t want to listen at the moment, I’m distracted."
Refusal,Mine! Keep your hands off my favorite toy car!
Command,Leave me alone! This isn't fair!
Distress,"I'm devastated that I don't feel good and my head feels dizzy, and now I feel utterly unnerved."
Question,What's that SUPER LOUD buzzing noise?
Gratitude,"with every bite, I felt your love—and I’ll carry that feeling all week long."
Question,Why do you always win at chess?  
Observation,I see squirell
Desire,I want to be a scientist when I grow up.
Imitation,"I’m pretending to slide, snap, and shimmy just like the stars on screen!"
Complaint,The station feels more like a concert than a commute.
Distress,It's NOT FAIR AT ALL! My sister ALWAYS gets the BIGGER slice!
Question,What specific actions does the kettle perform to heat water?
Excitement,Yay! Weâre finally going on holiday together!  
Question,What should I do?
Complaint,No! I don’t like what’s happening.
Command,Slide the remote to me I’m the chooser now!
Emotion,I’m giggly like a laugh wrapped in fur and wearing tiny shades.
Question,Why do some puddles disappear faster than others?
Gratitude,"thank you for being someone I can simply be with—no noise, no rush, just presence."
Refusal,I already said no—I’m staying on track.
Possession,Mine! My red car!
Command,"My turn! You give me space, I need to play alone!"
Distress,The test is making me feel uneasy and nervous
Emotion,It feels like my hopes were puzzle pieces—but the picture changed halfway through.
Need,Snack time needs a cookie.
Question,What's the fundamental problem that's stopping me from climbing?
Distress,I’m really scared and my heart feels jumpy
Distress,I feel embarrassed that I tripped in front of everyone.
Desire,I’m hoping you’ll read me one more—just one!
Comfort,I love lullabies—can you sing one?
